"corpus","bul_newscrawl_2011"
"subcorpus","-"
Item,Frequency
"на",401275
"и",235867
"в",220564
"да",212429
"от",177494
"за",174761
"е",147450
"се",146299
"а",107828
"не",95873
"с",95750
"ако",82226
"ще",81547
"си",78448
"са",64136
"прочитания",62325
"пъти",61827
"че",61427
"автор(и",60461
"по",50634
"регион",50410
"рубрика",50114
"часа",49869
"г",46813
"аз",40251
"като",37913
"това",34011
"други",31022
"до",26816
"има",23381
"които",22909
"му",22212
"софия",21973
"българия",20923
"го",20791
"след",20263
"няма",19959
"съм",19959
"може",19682
"през",18712
"който",18190
"но",17365
"или",16864
"много",16159
"само",15904
"при",15725
"без",15529
"ли",15408
"трябва",15368
"години",15218
"още",14846
"към",14693
"бъде",14105
"във",13927
"ни",13900
"беше",13819
"онлайн",13548
"бе",13248
"със",13020
"им",12895
"ми",12729
"ги",12474
"един",12437
"всички",12388
"той",11895
"те",11784
"която",11380
"година",11183
"какво",11151
"ви",10816
"вече",10747
"срещу",10672
"преди",10565
"ти",10560
"което",10516
"тази",10438
"този",10387
"време",9879
"коментари",9666
"ама",9652
"лв",9417
"то",9384
"тези",9332
"защото",9290
"една",9183
"ами",9140
"как",9105
"така",8622
"сега",8516
"повече",8436
"вчера",8165
"бъдат",8054
"когато",8019
"пред",7891
"съобщи",7743
"пък",7676
"хора",7538
"тях",7454
"лева",7309
"над",7118
"би",7014
"нещо",6747
"бяха",6709
"я",6484
"ден",6473
"някой",6438
"бил",6297
"както",6283
"него",6269
"нас",6256
"пари",6231
"днес",6168
"между",6162
"заради",6109
"все",6094
"защо",6000
"около",5999
"съобщиха",5978
"под",5894
"хората",5889
"също",5858
"млн",5766
"сте",5720
"човек",5679
"коментара",5616
"тя",5549
"обаче",5534
"сме",5527
"бургас",5503
"абе",5481
"едно",5413
"път",5300
"всеки",5284
"бизнес",5226
"кой",5218
"ние",5198
"навън",5192
"толкова",5022
"й",4960
"души",4945
"пак",4925
"могат",4898
"евро",4867
"у",4859
"страната",4855
"дни",4849
"пловдив",4794
"дали",4735
"там",4731
"две",4697
"част",4693
"дори",4688
"дата",4685
"всичко",4683
"ме",4677
"работа",4569
"крими",4526
"място",4502
"става",4463
"мвр",4461
"вътре",4454
"каза",4411
"няколко",4349
"герб",4327
"стане",4320
"борисов",4288
"били",4274
"български",4272
"нищо",4204
"имат",4156
"тогава",4141
"май",4117
"малко",4080
"сащ",4001
"държавата",3994
"спорт",3977
"добре",3975
"деца",3933
"министър",3931
"футбол",3924
"прави",3877
"бойко",3853
"света",3831
"върху",3830
"георги",3825
"такива",3818
"направи",3806
"иска",3801
"европа",3725
"месеца",3725
"съд",3689
"края",3682
"колко",3675
"заяви",3656
"поне",3633
"ес",3630
"мъж",3629
"вие",3613
"нови",3565
"оживление",3531
"където",3527
"два",3455
"село",3455
"тук",3445
"три",3427
"варна",3361
"къде",3336
"февруари",3307
"мен",3280
"жена",3261
"отново",3255
"левски",3240
"просто",3234
"нова",3212
"град",3205
"страна",3187
"стана",3184
"край",3182
"според",3174
"сред",3172
"точно",3155
"баща",3152
"работи",3132
"група",3119
"животът",3071
"бсп",3064
"получи",2974
"докато",2970
"община",2964
"мога",2953
"спечели",2953
"нито",2942
"начин",2935
"димитър",2935
"иван",2934
"казва",2919
"щеше",2889
"имоти",2885
"наистина",2872
"декември",2865
"нов",2837
"милиона",2828
"момента",2818
"нея",2803
"нямаше",2785
"полицията",2752
"друг",2747
"президент",2735
"доста",2724
"някои",2705
"искат",2697
"март",2684
"април",2676
"било",2675
"живота",2659
"лично",2655
"децата",2643
"била",2642
"парите",2622
"обяви",2610
"винаги",2584
"правителството",2582
"последните",2574
"месец",2570
"агенция",2568
"александър",2566
"избори",2560
"правят",2559
"ясно",2554
"септември",2552
"имам",2523
"долара",2476
"мнения",2459
"цска",2453
"искам",2417
"началото",2413
"града",2407
"никой",2400
"двама",2395
"хиляди",2386
"седмица",2371
"знам",2359
"търговия",2353
"съвет",2352
"интернет",2349
"живот",2347
"бях",2338
"януари",2335
"времето",2331
"сигурност",2326
"държава",2303
"петров",2302
"регионални",2299
"промяна",2295
"първи",2280
"пише",2277
"българи",2276
"места",2275
"млрд",2262
"търново",2243
"миналата",2230
"закона",2219
"благоевград",2218
"едва",2199
"предаде",2199
"чрез",2198
"никога",2197
"близо",2192
"колкото",2186
"тъй",2176
"минути",2176
"система",2175
"почти",2165
"даде",2158
"заедно",2158
"своя",2154
"вас",2148
"общината",2144
"русия",2136
"партия",2136
"отбор",2133
"всяка",2129
"знае",2118
"димитров",2118
"атака",2070
"сто",2069
"българските",2066
"българската",2062
"работата",2059
"после",2054
"годината",2054
"такъв",2053
"николай",2046
"строителство",2030
"производство",2024
"въпрос",2024
"цялата",2021
"друго",2017
"себе",2014
"бербатов",2010
"тия",1998
"октомври",1997
"право",1990
"неща",1965
"г-н",1964
"д-р",1960
"информация",1947
"проект",1946
"първата",1944
"зад",1939
"българите",1927
"фирма",1923
"айде",1913
"дпс",1912
"нали",1908
"страни",1897
"дома",1897
"свят",1893
"какви",1892
"болница",1892
"майка",1888
"проблеми",1882
"дава",1880
"значи",1854
"първия",1853
"иначе",1837
"google",1810
"ч",1809
"например",1805
"новия",1804
"мисля",1804
"тоя",1803
"фирми",1802
"иванов",1798
"започва",1798
"общо",1793
"кмет",1789
"утре",1781
"имаше",1778
"името",1775
"средства",1771
"турция",1764
"по-късно",1762
"освен",1755
"първанов",1747
"услуги",1746
"кажа",1743
"компания",1743
"въпреки",1736
"аец",1735
"комисия",1733
"помощ",1728
"проблем",1726
"другите",1722
"германия",1720
"такава",1717
"дето",1708
"що",1705
"сливен",1701
"цената",1699
"бащата",1699
"голям",1698
"ноември",1697
"решение",1693
"голяма",1690
"вода",1687
"имаме",1681
"веднага",1678
"автомобили",1677
"делото",1675
"българския",1675
"изборите",1673
"власт",1672
"различни",1668
"по-малко",1667
"медии",1666
"юни",1664
"дирекция",1662
"друга",1659
"коментира",1652
"досега",1650
"бих",1647
"ул",1646
"ал",1646
"съда",1641
"дете",1639
"политика",1637
"цена",1635
"мач",1635
"против",1633
"затвор",1633
"директор",1631
"работят",1630
"станишев",1630
"криза",1629
"лига",1628
"нашите",1625
"промени",1622
"продължава",1618
"стефан",1612
"правителство",1612
"нещата",1607
"костов",1604
"център",1600
"обясни",1597
"теб",1596
"случи",1591
"училище",1589
"националния",1589
"мача",1577
"служители",1569
"говори",1565
"своите",1563
"анализи",1560
"съвсем",1560
"пътя",1559
"полицаи",1558
"агенцията",1557
"реши",1553
"двете",1550
"бг",1543
"новата",1543
"затова",1539
"първо",1538
"останалите",1535
"юли",1534
"стара",1528
"достатъчно",1528
"управление",1523
"компютъра",1521
"сезон",1520
"води",1519
"автор",1517
"жени",1516
"клуб",1512
"ангел",1512
"първите",1503
"прокуратурата",1502
"човека",1502
"момчил",1491
"данни",1487
"остава",1486
"сам",1484
"парламента",1483
"твърди",1477
"цените",1476
"опит",1475
"баба",1473
"програма",1471
"каже",1471
"петър",1467
"приложения",1464
"договор",1460
"дойде",1459
"възможност",1455
"центъра",1454
"среща",1451
"нека",1449
"полиция",1448
"вероятно",1443
"продължи",1442
"нямат",1441
"започна",1440
"цветанов",1439
"означава",1436
"милев",1435
"каква",1430
"последна",1427
"предлага",1426
"остане",1425
"хил",1419
"абсолютно",1418
"сигурно",1411
"политически",1408
"излезе",1408
"играе",1404
"концепцията",1391
"св",1390
"очаква",1380
"област",1379
"струва",1376
"вместо",1374
"случай",1374
"христо",1373
"загора",1372
"банка",1372
"шеф",1371
"процента",1364
"белене",1364
"можем",1364
"първенство",1363
"първото",1356
"промишленост",1353
"чужбина",1352
"новото",1351
"граждани",1347
"автомобил",1347
"историята",1346
"м",1343
"георгиев",1341
"трудно",1340
"сдс",1340
"продукти",1339
"участие",1339
"филм",1338
"стига",1337
"доган",1336
"смята",1336
"втори",1336
"кризата",1336
"сила",1335
"поиска",1335
"изобщо",1330
"дума",1329
"отбора",1329
"предефинира",1324
"нямам",1324
"либия",1319
"ново",1317
"искате",1317
"всъщност",1315
"големи",1314
"имате",1312
"дом",1307
"американският",1306
"закон",1305
"лидер",1304
"час",1303
"по-добре",1302
"август",1302
"напълно",1300
"архитектура",1298
"защита",1291
"гърция",1290
"атанас",1290
"коалиция",1290
"б",1290
"трябвало",1289
"лица",1288
"особено",1284
"форума",1282
"атанасов",1282
"четири",1279
"какъв",1277
"възраст",1277
"влезе",1275
"вестник",1274
"комисията",1272
"такова",1270
"сметка",1270
"акцията",1269
"мъже",1268
"кръг",1265
"велико",1264
"именно",1260
"алексей",1259
"кметът",1259
"василев",1257
"франция",1257
"трябваше",1256
"основа",1256
"тая",1254
"т",1253
"дейност",1249
"американски",1247
"двамата",1245
"живее",1241
"мерки",1241
"пазар",1238
"къща",1238
"световната",1236
"щяха",1235
"министерство",1233
"съюз",1232
"the",1231
"вземат",1230
"компанията",1229
"война",1228
"цял",1224
"пазара",1223
"вечер",1222
"общински",1221
"целия",1220
"неделя",1219
"земята",1219
"виж",1218
"пет",1218
"петък",1215
"транспорт",1212
"ред",1211
"скоро",1210
"любопитно",1207
"показва",1206
"отдавна",1204
"операция",1204
"проекта",1204
"държави",1202
"кмета",1202
"документи",1202
"срок",1200
"ангелов",1198
"направят",1197
"собственост",1196
"повечето",1195
"трима",1195
"контрол",1194
"столицата",1194
"партията",1189
"областната",1189
"интервю",1188
"зала",1187
"развитие",1186
"проверка",1185
"плащат",1185
"образование",1184
"коли",1183
"явно",1182
"дават",1180
"връзка",1180
"отколкото",1179
"президента",1177
"често",1177
"председател",1177
"американците",1176
"приятели",1173
"събота",1172
"българин",1172
"идва",1172
"точки",1171
"понеделник",1170
"цел",1167
"момент",1164
"история",1163
"детето",1162
"резултата",1160
"член",1160
"език",1157
"извън",1155
"наложи",1154
"кола",1154
"поради",1152
"знаят",1151
"e",1151
"авторът",1143
"симеон",1142
"условия",1141
"въпроса",1141
"васил",1140
"дело",1138
"европейски",1137
"мястото",1133
"търси",1130
"съобщава",1129
"президентът",1129
"цени",1127
"българска",1126
"национален",1126
"победа",1125
"плаща",1124
"вземе",1123
"своята",1123
"син",1122
"премиер",1122
"семейство",1120
"възможно",1120
"бившият",1120
"бързо",1117
"море",1116
"главата",1115
"първият",1113
"изключително",1111
"разбира",1110
"властта",1110
"народ",1110
"министерството",1108
"италия",1107
"заплата",1106
"отношение",1105
"случая",1103
"интерес",1102
"медиите",1098
"кадафи",1094
"събрание",1091
"кога",1088
"бившия",1087
"националната",1087
"европейската",1085
"проведе",1085
"подобни",1083
"нужда",1083
"добър",1081
"румен",1080
"брой",1080
"подкрепа",1078
"екипът",1078
"име",1077
"адвокат",1076
"англия",1073
"манчестър",1072
"андрей",1071
"новият",1070
"обама",1069
"европейския",1068
"имало",1068
"тв",1065
"можеш",1064
"живеят",1062
"колата",1062
"юнайтед",1061
"бивш",1061
"шефът",1060
"затвора",1059
"иванова",1059
"премиера",1056
"стигне",1056
"икономика",1054
"кг",1053
"официално",1051
"ръка",1050
"излиза",1050
"загуби",1049
"щом",1049
"америка",1048
"момче",1048
"обиди",1047
"новите",1047
"мнение",1047
"км",1046
"телевизия",1043
"кв",1043
"права",1043
"изграждане",1041
"катастрофа",1036
"премиерът",1034
"едни",1033
"банките",1033
"започне",1030
"клуба",1029
"квалификации",1029
"представи",1027
"тодор",1026
"представят",1024
"нашата",1023
"i",1023
"етническа",1021
"семейството",1020
"глоба",1020
"mediapool",1019
"имаш",1019
"направо",1019
"коментар",1018
"биха",1017
"смъртта",1016
"та",1013
"остана",1012
"дянков",1011
"значение",1011
"сили",1011
"ръководството",1008
"русе",1007
"парламент",1007
"труд",1007
"год",1005
"разговаря",1005
"задържан",1004
"университет",1003
"гледа",1002
"разследване",1002
"същото",999
"ндсв",996
"решението",995
"ройтерс",994
"седмици",993
"техните",990
"шампион",989
"фонд",988
"жените",988
"групата",986
"всичките",986
"искаш",981
"говорим",978
"facebook",978
"можете",977
"екстра",975
"научи",975
"нощ",974
"американската",974
"истината",973
"свобода",972
"района",972
"партии",972
"народа",971
"уведомява",970
"кажи",970
"носи",970
"каквото",967
"валентин",967
"данъци",962
"следващите",961
"цели",960
"политиката",959
"съдържащи",958
"момиче",955
"лице",953
"борба",953
"дъщеря",953
"областта",953
"родителите",952
"администраторите",951
"брюксел",949
"премахват",948
"приятел",947
"заплати",947
"отговорност",947
"красимир",946
"смятам",946
"прокурор",944
"състояние",943
"участва",942
"период",940
"нецензурни",939
"вид",939
"расова",938
"верска",938
"бюджета",937
"очите",936
"истински",935
"виждам",934
"намери",933
"въобще",932
"даже",927
"казал",924
"глава",923
"получава",923
"дела",922
"игра",922
"плевен",921
"цяла",921
"из",921
"диана",920
"първа",920
"икономиката",920
"смятат",920
"мария",919
"издание",918
"барселона",917
"стойност",917
"държавна",917
"добро",916
"знаете",916
"бан",915
"знаеш",914
"румъния",914
"представители",914
"добри",913
"номер",913
"адвокатът",912
"берлин",910
"мисли",910
"театър",910
"бюджет",910
"четвъртък",909
"депутати",907
"всяко",905
"същия",904
"владимир",903
"победи",903
"българското",901
"стоки",899
"някакви",898
"сами",895
"деня",894
"шумен",894
"сряда",893
"върне",893
"божидар",893
"готов",892
"повод",891
"задържани",891
"пресцентъра",889
"виновен",889
"американските",888
"проф",888
"министърът",888
"бул",887
"вечерта",885
"стоянов",882
"музика",880
"получат",880
"някаква",880
"перник",878
"материали",878
"хотел",877
"гоце",876
"автомобилът",876
"асен",873
"ниво",872
"следващата",872
"изглежда",871
"сайта",870
"кюстендил",870
"окаже",870
"лондон",870
"продажба",869
"бай",865
"проекти",865
"аман",864
"болницата",863
"техника",862
"цигари",861
"отиде",861
"някакъв",860
"казват",860
"черно",860
"данс",859
"въпроси",859
"кои",859
"резултат",859
"сина",858
"треньор",858
"лятото",857
"успя",857
"идеята",857
"век",857
"организация",855
"втората",855
"сергей",854
"план",854
"ток",854
"берлускони",852
"плати",851
"де",850
"щях",850
"най",849
"япония",849
"територията",847
"дневник",847
"ахмед",846
"клас",846
"последния",846
"обществото",843
"петков",842
"макар",842
"безспорно",842
"най-много",842
"сериозно",841
"действия",840
"new",840
"съдът",840
"някоя",839
"думи",839
"ареста",839
"положение",839
"опита",837
"метра",837
"разград",837
"известен",836
"използва",835
"пламен",835
"видим",834
"автора",834
"акция",833
"труда",833
"кандидат",831
"фирмата",831
"втора",830
"местните",830
"добра",828
"футболист",828
"стадион",827
"тенис",827
"стартира",827
"големите",826
"гражданите",826
"сигнал",826
"когото",823
"снимки",823
"цветан",822
"мартин",821
"нато",821
"сезона",821
"желаят",820
"появи",819
"някъде",819
"стават",819
"искаме",817
"интереси",816
"продължават",815
"снимка",815
"избор",814
"ню",814
"успех",813
"алкохол",813
"виктор",813
"лесно",813
"машини",812
"политическа",811
"журналисти",811
"da",810
"причина",810
"банката",810
"дядо",809
"армията",809
"монтана",809
"вярно",808
"трети",808
"стоян",807
"втория",807
"актьорът",806
"припомня",805
"филма",805
"кампания",804
"сутрин",803
"имал",802
"вторник",802
"служба",802
"специално",801
"шофьор",801
"практика",799
"дупница",798
"позиция",798
"лиляна",798
"движение",798
"сградата",796
"москва",794
"българският",794
"акциите",793
"любов",793
"можеше",792
"догодина",792
"емил",792
"върви",792
"дс",791
"неговата",791
"внимание",791
"модел",791
"мрежа",790
"стопанство",789
"останат",789
"антон",789
"актрисата",789
"екип",788
"взе",787
"сутринта",787
"николов",787
"рецепта",787
"шанс",787
"китай",786
"ранени",786
"самият",785
"новини",783
"спрямо",783
"фокус",783
"прав",781
"ремонт",781
"морето",780
"награда",780
"европейските",779
"млади",778
"завърши",776
"ученици",775
"лошо",774
"депутат",772
"квартал",772
"гр",772
"търсят",772
"столица",771
"половина",771
"тема",771
"хубаво",770
"спре",770
"остават",770
"показа",770
"дсб",769
"испания",768
"компании",768
"намира",767
"армия",766
"офис",765
"купи",764
"йордан",764
"гледам",764
"следващия",764
"ап",763
"бяхме",760
"опасност",760
"роден",759
"литекс",759
"скандал",758
"ирак",758
"албум",757
"пирин",757
"единствено",757
"сума",757
"казвам",756
"едро",756
"ддс",755
"статии",754
"база",754
"държавни",753
"удари",752
"кого",752
"писал/а",752
"великобритания",751
"твърде",751
"види",751
"радио",750
"тодоров",750
"книга",750
"политици",750
"групи",750
"части",749
"дълго",744
"енергия",744
"относно",744
"двата",744
"цялото",744
"афп",743
"бизнеса",742
"сектор",742
"управлението",742
"бнт",741
"студенти",741
"вяра",740
"системата",739
"банско",739
"добави",739
"присъда",739
"факт",738
"ботев",738
"налага",738
"добрич",738
"получават",736
"пазарджик",735
"съдия",735
"свои",733
"лечение",733
"оказа",732
"deltanews",732
"кабинета",732
"градина",731
"сайт",731
"силно",731
"последната",730
"разлика",729
"никакви",728
"училища",728
"съоръжения",728
"турнира",728
"руски",727
"правя",727
"продава",727
"лекари",727
"автомобила",727
"бб",726
"малки",725
"чак",725
"чака",724
"любима",724
"хасково",722
"сидеров",721
"нап",721
"световното",721
"направим",721
"отговор",721
"проблемите",720
"наем",720
"концерт",719
"прокуратура",719
"удар",719
"гласуват",719
"вярвам",719
"средно",718
"собственик",718
"членове",717
"готови",717
"изцяло",716
"магазин",715
"посочи",715
"любомир",713
"гледат",713
"гол",712
"съпругата",712
"реклама",712
"ад",710
"администрация",710
"допълни",708
"участват",708
"правим",707
"направил",706
"видео",706
"пункта",706
"убийството",706
"статия",705
"свързани",705
"моля",704
"кражба",704
"смолян",704
"правата",704
"напред",703
"точка",703
"идват",703
"рамките",702
"ходи",701
"полицай",701
"ето",700
"пълна",699
"веднъж",699
"банки",698
"отговаря",697
"протест",697
"сгради",696
"бгнес",696
"борис",696
"новина",695
"адвокатите",695
"мъжете",694
"администрацията",694
"арестуван",694
"учени",694
"безработицата",693
"детски",693
"почина",692
"срещата",692
"барак",692
"валери",692
"голямо",692
"столичния",692
"свой",691
"депутатите",690
"лекар",690
"половин",690
"оценени",689
"влиза",688
"мигове",688
"отнася",688
"докторе",688
"блок",688
"тони",687
"телефон",687
"твърдят",687
"звезда",686
"снощи",686
"институции",686
"сърбия",686
"размер",686
"къщата",684
"инвестиции",684
"купата",682
"държи",682
"георгиева",681
"т.н",681
"самолет",681
"населението",680
"македония",678
"загуба",675
"of",674
"бебето",674
"милиарда",674
"познавам",674
"бъда",674
"желание",673
"шест",673
"случва",673
"среда",672
"къщи",671
"чл",671
"думите",671
"годишно",671
"онези",671
"нощта",670
"глупости",670
"половината",670
"договора",670
"административни",669
"акт",669
"ролята",668
"шампионската",668
"тежко",668
"никакъв",668
"младите",667
"отговори",667
"фотографи",667
"използват",666
"неговите",666
"никола",665
"главен",665
"съдебната",665
"данък",664
"предложи",664
"зона",664
"тим",663
"програмата",662
"държавната",662
"ръст",661
"червените",661
"футболисти",661
"ръцете",660
"портфолио",659
"важно",659
"афганистан",659
"призна",659
"емисия",659
"бъдеще",658
"константин",657
"смърт",656
"дарик",656
"по-рано",655
"анна",655
"дал",655
"турнир",655
"региона",654
"обичам",654
"rss",654
"газ",653
"веселин",653
"джон",652
"улиците",652
"йорк",652
"христов",652
"пишат",651
"bg",651
"отказа",651
"моя",651
"държавен",651
"разказва",650
"световен",650
"включително",650
"бандата",649
"фенове",649
"гражданин",649
"уловените",648
"burgasfoto.com",648
"представител",648
"знаем",646
"видя",645
"кирил",645
"съветник",644
"бряг",644
"илко",643
"постоянно",643
"най-вероятно",642
"акции",642
"последно",642
"бебе",642
"съмнение",642
"същата",641
"химия",640
"найденов",640
"културата",640
"награди",639
"bашата",639
"наред",639
"общинския",639
"наши",638
"работя",638
"желева",638
"обяснява",637
"голямата",636
"турски",636
"участието",636
"най-големите",635
"заведение",635
"общество",633
"ръце",633
"тука",633
"линия",632
"янев",632
"лукойл",632
"лицето",632
"полза",631
"клиенти",630
"нашия",630
"мандат",630
"ет",630
"разходи",629
"резултати",629
"конкурс",629
"игри",628
"черноморец",628
"останали",628
"служител",627
"париж",627
"споделете",626
"празник",625
"тима",625
"надежда",625
"английски",625
"статиите",625
"вижда",624
"доказателства",624
"доведе",624
"охранителни",623
"сграда",623
"коледа",623
"шоу",623
"финала",623
"данните",622
"батков",622
"остави",622
"формула",622
"посланик",622
"нормално",622
"оръжие",622
"открит",621
"средата",621
"направя",621
"трите",621
"апартамент",621
"случаи",620
"най-малко",620
"управлява",619
"говорят",619
"култура",619
"сериозни",619
"кара",619
"габрово",618
"оставка",618
"съветници",617
"пореден",617
"сподели",617
"видите",617
"харесва",616
"кучета",616
"феновете",615
"станат",615
"бъдещето",614
"сандански",614
"кино",613
"икономически",613
"бта",613
"живея",613
"предлагат",612
"майката",612
"приходите",611
"секс",611
"сигурен",611
"председателят",610
"цар",610
"месеци",610
"имена",609
"справочник",609
"режим",609
"посока",609
"престъпление",608
"волейбол",608
"рожден",607
"задължително",607
"степен",606
"стои",605
"недвижими",605
"приеме",605
"колеги",604
"комплекс",604
"идея",604
"казах",604
"туризъм",604
"върна",603
"случайно",603
"пост",603
"секретар",601
"лека",600
"проблема",600
"показват",599
"милиони",599
"процес",599
"темата",598
"второ",598
"здраве",597
"титлата",597
"народното",597
"взема",597
"земя",596
"продават",596
"късно",596
"фестивал",596
"световна",595
"вот",595
"бл",595
"правни",594
"парк",594
"сцена",594
"пирогов",594
"заплатите",592
"другата",592
"категоричен",592
"моите",592
"по-скоро",592
"агент",592
"димитрова",592
"десетки",592
"съществува",591
"сравнение",591
"илиева",591
"тежки",591
"отива",590
"помогне",589
"бог",589
"далеч",589
"карта",588
"решения",588
"убийство",588
"консултантски",588
"предимно",588
"дадат",586
"улицата",586
"фирмите",586
"лидерът",586
"младежи",586
"приемат",586
"волен",586
"броят",586
"чужди",585
"държавния",585
"малка",585
"военни",585
"нарушения",584
"причини",584
"подаде",584
"кат",584
"снимката",583
"споразумение",583
"гeорги",583
"предвид",582
"лек",582
"вариант",581
"сините",581
"корупция",581
"глас",581
"четирима",580
"поста",580
"най-вече",580
"енергетика",579
"своето",579
"брат",579
"продължение",579
"хранително-вкусова",579
"убеден",579
"големия",578
"власти",578
"жертва",578
"автобус",578
"силвия",577
"организации",577
"образованието",577
"кодекс",577
"седем",577
"играят",577
"елена",577
"арестувани",576
"състав",576
"потвърди",576
"оценка",576
"независимо",575
"приключи",575
"бр",574
"грешка",574
"ловеч",574
"тракия",574
"започнаха",574
"разходите",574
"магазини",573
"прес",573
"екатерина",573
"щото",573
"открити",572
"република",572
"работници",572
"българско",572
"жената",572
"рим",572
"най-голямата",571
"приема",571
"страх",571
"експерти",571
"роля",571
"всякакви",570
"политик",570
"капка",570
"магистрала",570
"някога",569
"смисъл",568
"такси",568
"сцената",567
"отиват",567
"бившата",567
"бизнесмен",566
"световните",566
"заседание",566
"загинаха",566
"агенции",565
"щяхме",565
"подобно",565
"финансови",565
"самата",564
"тип",564
"човекът",563
"еп",563
"такса",563
"адрес",563
"вкъщи",562
"предизвика",562
"др",561
"кредити",561
"писмо",561
"биотехнология",560
"тодорова",559
"вкара",559
"престъпления",559
"видин",559
"десет",558
"лято",557
"договори",557
"движението",557
"книгата",557
"нарушение",557
"борбата",557
"базата",556
"коя",556
"загина",556
"ситуацията",555
"михаил",555
"арестуваха",553
"започват",552
"милион",552
"авторите",552
"велчев",552
"истина",552
"дейли",551
"възможности",551
"отношения",551
"колегите",551
"гола",550
"собствениците",550
"сметки",550
"пожар",550
"национална",550
"съобщават",550
"австрия",550
"къртунов",549
"избран",549
"управляващите",549
"песен",549
"доверие",548
"специалисти",548
"братя",547
"призова",547
"храна",547
"песни",547
"екипа",546
"бой",546
"компютри",546
"путин",545
"израел",545
"иран",545
"връща",545
"илияна",544
"успее",544
"най-добрите",544
"институт",544
"лекарите",544
"наркотици",543
"пълен",543
"достъп",543
"конкурса",543
"ивайло",542
"публиката",542
"дойдат",542
"неговото",542
"петрол",541
"играта",541
"синята",541
"ани",540
"служителите",540
"гости",539
"бвп",539
"книги",539
"представя",539
"a",539
"регистрация",539
"родители",539
"направили",539
"програми",538
"спедиция",538
"стотици",538
"горна",538
"водата",538
"пример",537
"оон",537
"часове",537
"моята",537
"елица",536
"алекс",536
"целта",536
"туристи",536
"понякога",535
"na",535
"пуска",534
"чакат",534
"форма",534
"анализът",534
"оставката",533
"т.е",533
"осем",533
"самите",533
"европейското",532
"столичната",532
"телефона",532
"несебър",532
"серия",531
"жив",531
"александров",531
"безплатно",531
"финансова",531
"кандидати",531
"откъде",531
"органи",531
"обикновено",530
"правото",530
"by",530
"условията",530
"разбирам",530
"загинали",529
"тока",528
"враца",528
"южна",528
"ситуация",528
"създаде",528
"водят",528
"върнат",528
"засега",527
"системи",527
"започнат",527
"тона",527
"резултатите",526
"строителни",526
"правила",526
"врати",525
"миналия",525
"етаж",524
"насам",524
"искал",524
"храни",524
"тялото",524
"младеж",524
"шефа",524
"корупцията",523
"мин",523
"слави",523
"мине",523
"петрич",522
"общ",522
"тебе",522
"развитието",522
"последното",522
"северна",522
"мислят",522
"жертви",522
"организира",521
"спортист",521
"дружеството",521
"съпруга",521
"реал",520
"ямбол",520
"наскоро",520
"дружество",520
"печалба",520
"пътищата",519
"сумата",519
"тежка",519
"врата",518
"видят",518
"кажат",518
"летище",518
"играч",517
"рано",517
"очакват",517
"интересно",517
"румяна",517
"хранителни",517
"висока",516
"основните",516
"сочи",516
"селото",515
"конституцията",515
"спокойно",515
"бфс",514
"министъра",514
"купа",514
"кърджали",514
"ек",514
"реално",514
"направиха",513
"определени",513
"следва",513
"трета",513
"актьори",513
"същите",513
"хляб",512
"принцип",512
"телевизията",511
"ладен",511
"пита",511
"оряховица",509
"падна",509
"имали",509
"майкъл",509
"определено",508
"начело",508
"търговски",508
"гражданска",507
"почивка",507
"момчета",507
"икономическа",507
"осъден",507
"нападател",506
"ръководство",506
"съди",506
"ангелова",506
"пътища",506
"гласува",506
"европейска",505
"потребителите",505
"старши",505
"метали",504
"известни",504
"навсякъде",503
"границата",503
"проучване",503
"роди",502
"промените",502
"понеже",502
"най-добре",501
"стари",501
"яне",501
"местни",500
"косово",498
"някого",498
"задължения",498
"откри",498
"актьор",497
"гласове",497
"карти",497
"църква",497
"спира",497
"млад",496
"минута",496
"градски",496
"момичета",496
"локо",495
"филми",495
"поредната",495
"демокрация",495
"увеличи",495
"заведения",495
"неговия",495
"по-голяма",493
"терзиева",493
"локомотив",493
"арест",492
"качеството",492
"приходи",492
"марка",492
"войната",491
"правилата",491
"пръв",491
"открито",491
"лекарства",491
"международен",491
"атина",490
"шоуто",490
"разказа",490
"министри",490
"стил",489
"естествено",489
"частна",489
"детска",489
"социални",489
"влизат",488
"граница",487
"слънчев",487
"доставка",487
"доц",487
"допълнително",487
"спад",487
"мандата",487
"създаването",486
"pm",486
"африка",486
"лични",486
"белите",486
"малък",485
"обекти",485
"живо",485
"силен",484
"подписа",484
"скорост",484
"единственият",484
"колев",484
"очи",484
"американския",482
